,Date,Ratings,Titles,Reviews,cleaned_Reviews,Reviews_Token,Reviews_Lemm
10,6-May-20,VERY POSITIVE,The best fresh made pasta ❤❤,family enjoy first time vapiano love fresh made pasta delicious first time visit love everything perfect,famili enjoy first time vapiano love fresh made pasta delici first time visit love everyth perfect,"['family', 'enjoy', 'first', 'time', 'vapiano', 'love', 'fresh', 'made', 'pasta', 'delicious', 'first', 'time', 'visit', 'love', 'everything', 'perfect']","['family', 'enjoy', 'first', 'time', 'vapiano', 'love', 'fresh', 'make', 'pasta', 'delicious', 'first', 'time', 'visit', 'love', 'everything', 'perfect']"
11,10-Mar-20,VERY POSITIVE,Excellent freshly cooked dishes,recommended vapianos friends disappointed visited lunch time although bit busy attention care given dish cooked fresh ingredients cooked front,recommend vapiano friend disappoint visit lunch time although bit busi attent care given dish cook fresh ingredi cook front,"['recommended', 'vapianos', 'friends', 'disappointed', 'visited', 'lunch', 'time', 'although', 'bit', 'busy', 'attention', 'care', 'given', 'dish', 'cooked', 'fresh', 'ingredients', 'cooked', 'front']","['recommend', 'vapianos', 'friend', 'disappoint', 'visited', 'lunch', 'time', 'although', 'bit', 'busy', 'attention', 'care', 'give', 'dish', 'cook', 'fresh', 'ingredient', 'cook', 'front']"
12,3-Mar-20,POSITIVE,Nice fast pasta dinner,first visit vapiano enjoyed food cooked freshly front tasted great downside queue food depending time visit var pricing reasonable,first visit vapiano enjoy food cook freshli front tast great downsid queue food depend time visit var price reason,"['first', 'visit', 'vapiano', 'enjoyed', 'food', 'cooked', 'freshly', 'front', 'tasted', 'great', 'downside', 'queue', 'food', 'depending', 'time', 'visit', 'var', 'pricing', 'reasonable']","['first', 'visit', 'vapiano', 'enjoy', 'food', 'cook', 'freshly', 'front', 'tasted', 'great', 'downside', 'queue', 'food', 'depend', 'time', 'visit', 'var', 'pricing', 'reasonable']"
13,20-Feb-20,POSITIVE,"Quick, fresh, tasty Pasta",first time vapiano went work team lunch colleagues explained ordering system given card order food need go relevant station pizza pasta salad,first time vapiano went work team lunch colleagu explain order system given card order food need go relev station pizza pasta salad,"['first', 'time', 'vapiano', 'went', 'work', 'team', 'lunch', 'colleagues', 'explained', 'ordering', 'system', 'given', 'card', 'order', 'food', 'need', 'go', 'relevant', 'station', 'pizza', 'pasta', 'salad']","['first', 'time', 'vapiano', 'go', 'work', 'team', 'lunch', 'colleague', 'explain', 'order', 'system', 'give', 'card', 'order', 'food', 'need', 'go', 'relevant', 'station', 'pizza', 'pasta', 'salad']"
14,18-Feb-20,VERY POSITIVE,We love it,usual restaurant usual fast food joint overcome system think appreciate way works food eaten various pastas fresh well cooked front eyes also build,usual restaur usual fast food joint overcom system think appreci way work food eaten variou pasta fresh well cook front eye also build,"['usual', 'restaurant', 'usual', 'fast', 'food', 'joint', 'overcome', 'system', 'think', 'appreciate', 'way', 'works', 'food', 'eaten', 'various', 'pastas', 'fresh', 'well', 'cooked', 'front', 'eyes', 'also', 'build']","['usual', 'restaurant', 'usual', 'fast', 'food', 'joint', 'overcome', 'system', 'think', 'appreciate', 'way', 'work', 'food', 'eaten', 'various', 'pasta', 'fresh', 'well', 'cook', 'front', 'eye', 'also', 'build']"
15,16-Feb-20,POSITIVE,Good food but poor execution,good meal food tasty portions good price ordering process unorganized inefficient seems like want eliminate wait staff maybe tablets order table go pick,good meal food tasti portion good price order process unorgan ineffici seem like want elimin wait staff mayb tablet order tabl go pick,"['good', 'meal', 'food', 'tasty', 'portions', 'good', 'price', 'ordering', 'process', 'unorganized', 'inefficient', 'seems', 'like', 'want', 'eliminate', 'wait', 'staff', 'maybe', 'tablets', 'order', 'table', 'go', 'pick']","['good', 'meal', 'food', 'tasty', 'portion', 'good', 'price', 'order', 'process', 'unorganized', 'inefficient', 'seem', 'like', 'want', 'eliminate', 'wait', 'staff', 'maybe', 'tablet', 'order', 'table', 'go', 'pick']"
16,13-Feb-20,VERY NEGATIVE,Mrs Lynda,one staff extremely unprofessional disable cousin enough money pay bill p student asked leave passport made big deal,one staff extrem unprofession disabl cousin enough money pay bill p student ask leav passport made big deal,"['one', 'staff', 'extremely', 'unprofessional', 'disable', 'cousin', 'enough', 'money', 'pay', 'bill', 'p', 'student', 'asked', 'leave', 'passport', 'made', 'big', 'deal']","['one', 'staff', 'extremely', 'unprofessional', 'disable', 'cousin', 'enough', 'money', 'pay', 'bill', 'p', 'student', 'ask', 'leave', 'passport', 'make', 'big', 'deal']"
17,11-Feb-20,POSITIVE,Fantastic food and ambience,mostly self service restaurant ambiance nice cosy unlike self service type establishments food good fresh delicious sense satisfaction eating know everything cooked fresh right,mostli self servic restaur ambianc nice cosi unlik self servic type establish food good fresh delici sens satisfact eat know everyth cook fresh right,"['mostly', 'self', 'service', 'restaurant', 'ambiance', 'nice', 'cosy', 'unlike', 'self', 'service', 'type', 'establishments', 'food', 'good', 'fresh', 'delicious', 'sense', 'satisfaction', 'eating', 'know', 'everything', 'cooked', 'fresh', 'right']","['mostly', 'self', 'service', 'restaurant', 'ambiance', 'nice', 'cosy', 'unlike', 'self', 'service', 'type', 'establishment', 'food', 'good', 'fresh', 'delicious', 'sense', 'satisfaction', 'eat', 'know', 'everything', 'cook', 'fresh', 'right']"
18,2-Feb-20,NEUTRAL,"Nice food, terrible concept",thought menu good variety sensible prices food good go good station order food want pasta garlic bread different queues queues long slow,thought menu good varieti sensibl price food good go good station order food want pasta garlic bread differ queue queue long slow,"['thought', 'menu', 'good', 'variety', 'sensible', 'prices', 'food', 'good', 'go', 'good', 'station', 'order', 'food', 'want', 'pasta', 'garlic', 'bread', 'different', 'queues', 'queues', 'long', 'slow']","['think', 'menu', 'good', 'variety', 'sensible', 'price', 'food', 'good', 'go', 'good', 'station', 'order', 'food', 'want', 'pasta', 'garlic', 'bread', 'different', 'queue', 'queue', 'long', 'slow']"
19,26-Jan-20,POSITIVE,A fantastic branch of Vapiano.,wonderful lunch despite queues taking minutes food excellent place cool vibe herbs galore,wonder lunch despit queue take minut food excel place cool vibe herb galor,"['wonderful', 'lunch', 'despite', 'queues', 'taking', 'minutes', 'food', 'excellent', 'place', 'cool', 'vibe', 'herbs', 'galore']","['wonderful', 'lunch', 'despite', 'queue', 'take', 'minute', 'food', 'excellent', 'place', 'cool', 'vibe', 'herb', 'galore']"
20,26-Jan-20,POSITIVE,Excellent fresh pasta,want fresh pasta sauce made scratch preference spelt pasta mushroom sauce tasted divine pasta thing reducing carbs good,want fresh pasta sauc made scratch prefer spelt pasta mushroom sauc tast divin pasta thing reduc carb good,"['want', 'fresh', 'pasta', 'sauce', 'made', 'scratch', 'preference', 'spelt', 'pasta', 'mushroom', 'sauce', 'tasted', 'divine', 'pasta', 'thing', 'reducing', 'carbs', 'good']","['want', 'fresh', 'pasta', 'sauce', 'make', 'scratch', 'preference', 'spell', 'pasta', 'mushroom', 'sauce', 'taste', 'divine', 'pasta', 'thing', 'reduce', 'carbs', 'good']"
21,9-Jan-20,NEUTRAL,Does what you need it to,want something easy nice atmoshpere isnt break bank expensive hits spot fast food chain pasta pizza sounding odd axtually works want fancy nice spend time dinner resteraunt,want someth easi nice atmoshper isnt break bank expens hit spot fast food chain pasta pizza sound odd axtual work want fanci nice spend time dinner resteraunt,"['want', 'something', 'easy', 'nice', 'atmoshpere', 'isnt', 'break', 'bank', 'expensive', 'hits', 'spot', 'fast', 'food', 'chain', 'pasta', 'pizza', 'sounding', 'odd', 'axtually', 'works', 'want', 'fancy', 'nice', 'spend', 'time', 'dinner', 'resteraunt']","['want', 'something', 'easy', 'nice', 'atmoshpere', 'isnt', 'break', 'bank', 'expensive', 'hit', 'spot', 'fast', 'food', 'chain', 'pasta', 'pizza', 'sound', 'odd', 'axtually', 'work', 'want', 'fancy', 'nice', 'spend', 'time', 'dinner', 'resteraunt']"
22,5-Jan-20,VERY POSITIVE,Lovely place to eat,lovely place eat quick service good price two one cocktails went made really cheap,love place eat quick servic good price two one cocktail went made realli cheap,"['lovely', 'place', 'eat', 'quick', 'service', 'good', 'price', 'two', 'one', 'cocktails', 'went', 'made', 'really', 'cheap']","['lovely', 'place', 'eat', 'quick', 'service', 'good', 'price', 'two', 'one', 'cocktail', 'go', 'make', 'really', 'cheap']"
23,29-Dec-19,VERY POSITIVE,Needed food,really lovely experience staff helpful friendly made welcome food cooked front us chef great italian food favourite certainly lived expectations really,realli love experi staff help friendli made welcom food cook front us chef great italian food favourit certainli live expect realli,"['really', 'lovely', 'experience', 'staff', 'helpful', 'friendly', 'made', 'welcome', 'food', 'cooked', 'front', 'us', 'chef', 'great', 'italian', 'food', 'favourite', 'certainly', 'lived', 'expectations', 'really']","['really', 'lovely', 'experience', 'staff', 'helpful', 'friendly', 'make', 'welcome', 'food', 'cook', 'front', 'us', 'chef', 'great', 'italian', 'food', 'favourite', 'certainly', 'live', 'expectation', 'really']"
24,26-Dec-19,POSITIVE,Nice food and service,nice fresh food pizza really tasty service warm helpful felt well cared host guy pizza chef thanks hand serving system quite messy place busy,nice fresh food pizza realli tasti servic warm help felt well care host guy pizza chef thank hand serv system quit messi place busi,"['nice', 'fresh', 'food', 'pizza', 'really', 'tasty', 'service', 'warm', 'helpful', 'felt', 'well', 'cared', 'host', 'guy', 'pizza', 'chef', 'thanks', 'hand', 'serving', 'system', 'quite', 'messy', 'place', 'busy']","['nice', 'fresh', 'food', 'pizza', 'really', 'tasty', 'service', 'warm', 'helpful', 'felt', 'well', 'care', 'host', 'guy', 'pizza', 'chef', 'thanks', 'hand', 'serve', 'system', 'quite', 'messy', 'place', 'busy']"
25,21-Dec-19,VERY NEGATIVE,Dreadful and a shambolic ordering system.,probably one worst experiences ever restaurant went couple days visit ask could reserve table staff member said reserve table person would,probabl one worst experi ever restaur went coupl day visit ask could reserv tabl staff member said reserv tabl person would,"['probably', 'one', 'worst', 'experiences', 'ever', 'restaurant', 'went', 'couple', 'days', 'visit', 'ask', 'could', 'reserve', 'table', 'staff', 'member', 'said', 'reserve', 'table', 'person', 'would']","['probably', 'one', 'bad', 'experience', 'ever', 'restaurant', 'go', 'couple', 'day', 'visit', 'ask', 'could', 'reserve', 'table', 'staff', 'member', 'say', 'reserve', 'table', 'person', 'would']"
26,4-Dec-19,VERY POSITIVE,Great views of Tower Bridge...,excellent lunch great staff fantastic views tower bridge city upstairs seating area,excel lunch great staff fantast view tower bridg citi upstair seat area,"['excellent', 'lunch', 'great', 'staff', 'fantastic', 'views', 'tower', 'bridge', 'city', 'upstairs', 'seating', 'area']","['excellent', 'lunch', 'great', 'staff', 'fantastic', 'view', 'tower', 'bridge', 'city', 'upstairs', 'seat', 'area']"
27,24-Nov-19,NEGATIVE,Unhelpful staff but great food,food great left valuable item restaurant called restaurant check still asked sat told call back minutes said find,food great left valuabl item restaur call restaur check still ask sat told call back minut said find,"['food', 'great', 'left', 'valuable', 'item', 'restaurant', 'called', 'restaurant', 'check', 'still', 'asked', 'sat', 'told', 'call', 'back', 'minutes', 'said', 'find']","['food', 'great', 'leave', 'valuable', 'item', 'restaurant', 'call', 'restaurant', 'check', 'still', 'ask', 'sat', 'tell', 'call', 'back', 'minute', 'say', 'find']"
28,22-Nov-19,VERY NEGATIVE,Terrible Experience,friend visited london bridge vapianos last week around pm understandingly could viewed peak time however wait served pasta beyond satisfying queued first pasta station time appeared,friend visit london bridg vapiano last week around pm understandingli could view peak time howev wait serv pasta beyond satisfi queu first pasta station time appear,"['friend', 'visited', 'london', 'bridge', 'vapianos', 'last', 'week', 'around', 'pm', 'understandingly', 'could', 'viewed', 'peak', 'time', 'however', 'wait', 'served', 'pasta', 'beyond', 'satisfying', 'queued', 'first', 'pasta', 'station', 'time', 'appeared']","['friend', 'visit', 'london', 'bridge', 'vapianos', 'last', 'week', 'around', 'pm', 'understandingly', 'could', 'view', 'peak', 'time', 'however', 'wait', 'serve', 'pasta', 'beyond', 'satisfy', 'queue', 'first', 'pasta', 'station', 'time', 'appear']"
