Date,Ratings,Titles,Reviews
6-May-20,50,The best fresh made pasta ❤❤,My family and i we enjoy are first time at Vapiano i love the fresh made pasta and they are so delicious.From the first time we visit we love it everything is perfect.
10-Mar-20,50,Excellent freshly cooked dishes,"We had been recommended Vapianos by a few friends and we weren’t disappointed! We visited at a lunch time and although a bit busy, attention and care was given to each dish they cooked. All fresh ingredients cooked in front of you and to your...More"
3-Mar-20,40,Nice fast pasta dinner,"My first visit to Vapiano and I enjoyed it. The food was cooked freshly in front of me and it tasted great. The only downside is having to queue for your food, which depending on the time of your visit can var. Pricing is reasonable...More"
20-Feb-20,40,"Quick, fresh, tasty Pasta","My first time at Vapiano, went for a work team lunch.  My colleagues explained the ordering system to me. You are given a card, when you order your food, you need to go to the relevant station to do this, pizza, pasta or salad. After...More"
18-Feb-20,50,We love it,"Not your usual restaurant or your usual fast food joint. Once you have overcome the system I think you will appreciate the way it works.  Food, we have only eaten various pastas is fresh and well cooked in front of your eyes. We also build...More"
16-Feb-20,40,Good food but poor execution,"Had a good meal here. Food was tasty and portions were good for the price. The ordering process was unorganized and inefficient. Seems like they want to eliminate wait staff. If so, maybe have tablets to order at the table and then go pick it...More"
13-Feb-20,10,Mrs Lynda,"One of the staff was extremely Unprofessional with my disable cousin , he didn’t have enough money  to pay the bill ,  it was only 50p , and he is a student . she asked him to leave his passport and made a big deal...More"
11-Feb-20,40,Fantastic food and ambience,"Its mostly a self service restaurant but the ambiance is very nice and cosy unlike other self service type establishments. The food here is good, fresh and delicious. There's a sense of satisfaction in eating here because we know everything's being cooked fresh, right in...More"
2-Feb-20,30,"Nice food, terrible concept","We thought the menu had good variety, sensible prices and the food was good but you go to each good station to order your food. If you want pasta with garlic bread, that is 2 different queues. The queues were long and slow so we...More"
26-Jan-20,40,A fantastic branch of Vapiano.,"We had a wonderful lunch here, and despite the queues taking some 10 minutes, the food was excellent, as was the place itself, with its cool vibe and herbs galore."
26-Jan-20,40,Excellent fresh pasta,"If you want fresh pasta and sauce made from scratch, to your preference, this is it!  I had spelt pasta with mushroom sauce, and it tasted divine!  Pasta is not my thing (reducing carbs) but this was so good, I had to have it.  All...More"
9-Jan-20,30,Does what you need it to,"If you want something easy with a nice atmoshpere which isnt break the bank expensive then this hits the spot. Its fast food chain pasta and pizza which while sounding odd axtually works. 

If you want fancy nice spend time over dinner resteraunt then this...More"
5-Jan-20,50,Lovely place to eat,"Lovely place to eat, quick service, good price! Had two for one on cocktails when we went which made them really cheap!"
29-Dec-19,50,Needed food,"A really lovely experience. The staff were so helpful and friendly and we were made welcome. The food was cooked in front of us, and the chef was great.  Italian food is a favourite of ours and this certainly lived up to expectations. We really...More"
26-Dec-19,40,Nice food and service,"Nice fresh food, pizza is really tasty. Service was warm and helpful, I felt well cared by both host guy and pizza chef. Thanks! 
In the other hand, the serving system is quite messy when the place is busy."
21-Dec-19,10,Dreadful and a shambolic ordering system.,Probably one of the worst experiences I’ve ever had at the restaurant. I went in a couple of days before the visit to ask if I could reserve a table. The staff member said I couldn’t reserve a table in person but would have to...More
4-Dec-19,50,Great views of Tower Bridge...,"Excellent lunch, great staff and fantastic views over Tower Bridge and the City from the upstairs seating area."
24-Nov-19,20,Unhelpful staff but great food,"Food was great, but left a valuable item in the restaurant and called the restaurant to check if it was still there. They asked where I sat and told me to call back after 10 minutes. They then said they couldn’t find it. I then...More"
22-Nov-19,10,Terrible Experience,"My friend and I visited the London Bridge Vapianos last week around 1pm. 
Understandingly this could be viewed as peak time, however our wait to be served pasta was beyond satisfying. 
We queued at the first pasta station as at the time appeared to be...More"
18-Nov-19,50,Great food and service overall,I strongly recommend Vipiano Tower Bridge restaurant. The place is right on the water front along the walkway to the London Bridge. The pasta and pizza is so good with a very decent price. The deserts are so good. 3 different moose flavors including Tiramisu...More
15-Nov-19,50,Amazing Views!!!,"So Vapiano is one of my faves in London for Italian food and I love their take on live cooking. Normally I go to the Portland Street one but last night me and a friend decided to try their Tower Bridge branch.

Boy oh boy...More"
11-Nov-19,50,Delicious Pasta!,"When you walk in they will provide you with a card, the chef and bartenders will add your total to it so you can pay at the end.

You seat yourself, look at the menu and head to the lines where the chefs make your...More"
5-Nov-19,50,Excellet atmosphere,"Excellent atmosphere, very professional and fun staff ... excellent service and of course food. Love it and recommend it for all age group and class..."
3-Nov-19,30,Pasta on demand ,"First time here, my pasta was extremely spicy and ended up giving it to my boyfriend and he couldn’t finish it too. 

please make sure you keep an eye on the chef when his pouring chilli on your pasta. 

Valentino the manager on the shift...More"
15-Oct-19,30,Takeaway,"It's okay. I ordered it as a takeaway with Deliveroo. Arrived on time although the soonest was 2hrs from order.
Steak pasta arrived a bit cold, with almost no flavour at all really. Just greasy. Steak, spinach, mushroom and garlic should be packed full of...More"
13-Oct-19,30,"Good Food, Terrible Hygiene","The tables and chairs were messy, food everywhere, not being wiped properly. Menus also covered in food. An employee actually walked through the restaurant with a clear bin bag full of rubbish and food scraps which was disgusting to see. The toilets were also horrible,...More"
7-Oct-19,50,Great Fresh food,"One of the hottest days of the year, was like an oven but food was hot, hot, hot! Moretti beer, bruschetta, pizza, freshest pasta around. I could not fault it. Second visit to Vapiano, both been great."
6-Oct-19,40,An interesting take on fast food,"This is like a cross between traditional fast food and a full blown restaurant. The menu is primarily pastas and pizzas with a small selection of salads. Unlike traditional fast food they make all of the food right in front of you, but it is...More"
4-Oct-19,50,Great food,"Extremely extremely busy .. the wait was long but worth it in the end.

Great chefs amazing food.

Very very noisy couldn’t hear yourself think sadly so wouldn’t be somewhere I would go to sit eat & have a catch up chat .."
3-Oct-19,50,Great as always,"I do love Vapiano. I think it is the best italian restaurant ever. The quality is always good, it does mot matter the country, the people are very nice and price is amazing. 
I can always trust on eating well (and big quantities) on Vapiano....More"
25-Sep-19,20,Nice concept but was a bit dissapointed,"Nice concept but was a bit disappointed...

1st, I was charged extras for cheese and olives! There was no info about this in the menu and the chef did not say anything about any surcharge... you definitely need to mention and clearly list any extras...More"
19-Sep-19,40,"Delicious fresh food, but a bit pricey","Our family of five came here for a late lunch after visiting the Tower of London and walking over the Tower Bridge. The service model is a bit different, where you are given a card to put your food charges on, and you line up...More"
14-Sep-19,50,Great place for a quick meal before the theatre,Popped in here before going to the Bridge Theatre.  Was a little surprised at first as it is self-service but what a fantastic concept you select your pasta and a sauce you want and you can just watch someone cook it in front of you...More
13-Sep-19,10,Service please?,"I am unable to comment on the standard of the food, since I left before being served.

Given that this 'restaurant' has no service staff, I suppose I shouldn't be surprised, however the prices are what one might expect to pay at a proper restaurant...More"
8-Sep-19,30,"Fresh, tasty food. Great value. Ineffective queue system.","Vapiano restaurants are great. Pastas are prepared in front of you in a short amount of time (once it is your turn) and the value for money is good. You get free bread and olive oil / balsamic vinegar too.

I often go to them...More"
2-Sep-19,40,"Consistent, Easy and Good Food","Our first Vapiano experience was in Stockholm and always wanting to go back to any Vapiano location.  After an afternoon visit to the Tower Bridge, we were pleasantly surprised to walk past Vapiano and it was a no brainer to have lunch here.  At Vapiano,...More"
25-Aug-19,40,Good food reasonably priced,"We ate lunch at Vapiano’s Tower Bridge on Friday 16th August every where was packed out so we tried  vapiano’s and were pleasantly surprised by the quality and value. The food was cooked in front of you by the chefs, it tasted great and was...More"
23-Aug-19,40,Good and reliable,"Pizza and pasta chain. Cantina style. You either wait for your pasta (pretty much made in front of you) or order pizza where you get a buzzer and pick it up once done. Freshly made, too. Fresh products. Ok value for quality. Good and reliable"
12-Aug-19,10,"The worst service in London, avoid.",First time I have been to a Vapiano and it looks great. The staff were all very arrogant and assume you know how this canteen service approach goes. We waited ages for two pizzas from an over worked person taking orders and cooking. Garlic bread...More
10-Aug-19,40,"Great Italian food, if a little pricey","Our second visit after a day of sightseeing (first one in Jan 2019) and overall we were very happy with Vapiano.  The food was tasty, and kid friendly with some ""simple"" pasta for those with simpler appetites. Its essentially a self-service restaurant, going where you...More"
7-Aug-19,30,Pre show lunch,"We called here as it was next to the Bridge Theatre where we were going for a matinee performance. 

The concept was explained to us by the host (who must be the most miserable person who's basically being paid to stand there doing not a...More"
4-Aug-19,10,Chicken Cesar salad is terrible,Myself and friend ordered a ‘healthy’ chicken salad from vapiano - it was basically a salad smothered with sauce and almost no chicken. McDonald’s salad is much better than that and half the priceMore
21-Jul-19,10,Poor,"Bbq chicken pizza, on the menu as bbq sauce. Collected,  started eating and it's tomato sauce. Took it back and was handed bbq sauce in a plastic ketchup bottle to squirt on myself. Poor attitude from staff, novel concept of a place,  badly executed which...More"
18-Jul-19,30,"Okay Food, poor operations and somewhat lacking customer service",I love the Vapianos concept but on this occasion execution of some points failed badly. It is irksome so queue then have someone order 5 dishes or invite people to join them- the queuing system needs to be reviewed. The food was good my main...More
15-Jul-19,20,Greasy & stodgy,"Situated next to The Bridge Theatre where we were visiting for a matinee performance, we decided to try this before our show.  It's a different way of dining and the explanation at the reception desk was sorely lacking in information.  I queued for our food...More"
15-Jul-19,20,"Nice food, weird concept","We came here without realising the radical concept involved. You have to queue for your food while it is cooked in front of you. If you want antipasti, pasta and a drink that means three queues, which on a busy night is maddening. One of...More"
13-Jul-19,50,Great food and fantastic views of Tower Bridge,"As with all Vapianos, this restaurant prepares the pasta meals freshly, right in front of you. This also allows you to have input into how you like things and what you may or may not want added. The food was delicious and its very affordable...More"
7-Jul-19,40,Nice concept,"The concept of ordering with your card seems nice, since every check can be your own.  Pasta was amazing, it was really good. Pizza was bland and lacked flavor."
16-Jun-19,10,Service is terrible,"Service was terrible, the waitress chat in front of us in their language when we were waiting to be served. I’m surprised of their horrible services especially in such area."
5-Jun-19,40,Interesting way of ordering fresh Italian food,"This is a bright, largely open plan restaurant. You get a ""credit card"" and a menu when you enter. The food is either pasta, pizza or salad and you go to the appropriate cooking station and order your food, which is charged to your ""credit...More"
2-Jun-19,50,Dinner,"We had a delicious dinner here , all pastas so I can't comment on anything else but was pleased to see nice highchairs which fitted over the tables . We never felt out of place and the staff were a great help finding said highchair...More"
2-Jun-19,50,Very impressed,"We thoroughly enjoyed our experience at Vapiano Tower Bridge. We could not fault the food and loved the concept of going up to the chef and ordering your foid and watching as they prepared it.
The atmosphere and decor was lovely."
30-May-19,30,Expected more,"Friends of ours had raved about Vapiano, so my colleague and I decided to try it whilst in London on business.

The concept wasn’t explained properly, and possibly as a first visit, which we said it was, they should have made more effort.

The restaurant...More"
20-May-19,50,Great find near Tower Bridge,"We stumbled on this after visiting Tower Bridge and were really pleased with it.  Love the concept of going up to chef's and ordering your food and collecting it yourself.  Fast and friendly service. 

The food was amazing as well and the restaurant was light...More"
11-May-19,30,"Great location, but not a friendly experience","This spacious food factory has a glorious location under Tower Bridge, opposite the Tower, and a pleasant approach through Potters Field. It serves basic pasta and risotto, perfectly palatable, and the portions are generous. The wine is reasonably priced. But the good news ends there....More"
8-May-19,50,Love this place,Watching your food being cooked from fresh with the experienced and friendly chefs is a great experience.
17-Apr-19,50,Great Pizzas & Pasta,"Visited following a show at the Bridge Theatre, great welcome on entering restaurant, dinning on two levels with great views of Tower Bridge lite up. The food was very tasty and the atmosphere was excellent. Very good staff."
12-Apr-19,10,slow and average food,"the concept is dated. too much queuing, the cooking is slow and food is average. there is so much better out there - don't waste your lunch time here!"
1-Apr-19,30,Really just a Fast Food place…whatever else you think it is or it pretends to be,"No problem with queuing to get our own food, fast food places are like that, but we had the sense that this place is pretending to be something else. Yes, it costs less to employ waiting staff and that may reflect in the price a...More"
31-Mar-19,40,Excellent Value for Money Self-Service Restaurant,"Three decent mains and deserts plus a bottle of wine for £61 in the heart of tourist London.  What's not to like.

One improvement that they could easily make would be to install chilled water fountains to save customers having to go to the bar...More"
30-Mar-19,20, WTF?,"A mixture of seating/eating areas. 

Fresh and stylish decor.

Over staffed.

This was our second visit. The venue wasn’t busy yet staff were doing goodness knows what and certainly not acknowledging or serving customers. The place will survive on passing tourists but we wont return."
20-Mar-19,30,Ok for food,"Food is OK. You know what to expect if you have been before. Annoying is that you have to ask at the bar for water (which is located downstairs). There are no water fountains for tap water upstairs - they do have glasses, which doesn't...More"
15-Mar-19,50,Vapiano Tower Bridge,"First visit to this pasta haven and nothing disappointed. Staff friendly and helpful: the cooks (Vapianists) attentive and quick: the restaurant bright, airy and with fantastic views. Lastly, very reasonably priced.

Will definitely attend again and more than happy to recommend. Look them up, view...More"
13-Mar-19,50,excellent fresh food at reasonable prices,I love the fact they cook the food in front of you with fresh ingredients. Its always tasty and quick. deserts are a let down but the atmosphere is lovely. would recommend if your going with friends as its easier to split the bill with...More
19-Feb-19,40,Very good food,Food was excellent and freshly made and decent sized portions for a reasonable price - only downside were the queues but I guess that is part of the experience.
18-Feb-19,40,Delightful,"A mixture of seating/eating areas. 

Fresh and stylish decor.

Efficient staff.

We shall return - often.

A lovely concept."
16-Feb-19,50,Perfection,"I love this chain although first visit to this venue. Really friendly staff and highly talented chefs. If you don't visit here, you're missing out"
16-Feb-19,10,Rude staff appalling customer service,We came here on a Friday evening the place was busy and the pasta queues were stupidly long so we decided to order pizzas as it was empty. This whole school canteen idea is stupid and doesn’t work. Anyway we ordered a Margherita and I...More
15-Feb-19,30,Service and good food,"But... please... try to forget that you are in England... and try to propose different pizza... these kinds of pizza we can find everywhere except in the UK. Like pizza with cheese, 4 cheese???
When I read the pizza menu, all pizza seem similar, just...More"
11-Feb-19,50,Impressive,"It was great to relish the pizza and pasta. Verdure is my favourite and they make it with perfection. 
Children loved the pasta."
9-Feb-19,40,We were very pleasantly surprised,Don’t be put off by the unusual credit card arrangement you are faced with when you go in. Yes you queue to get you pasta or risotto but the chefs are really good entertainment too.  We really liked the whole system staying for two puddings...More
26-Jan-19,50,Early dinner,"Don’t know why there is lots of negative reviews, we both found the food excellent, the service was quick, is a great spot with views across the river towards Tower Of London."
12-Jan-19,20,Like A Bad School Cafeteria ,"I’ve eaten here numerous times since this Vapiano first opened and never been very impressed, but this time was the worst! Things have really gone downhill. 

We had dinner here on a Saturday evening. The biggest problem is the staff and customer service. The people...More"
6-Jan-19,20,Very limited gluten free selections,"One of our party is gluten free and when almost all Italian restaurants now offer gluten free pasta (and many gluten free pizza too), Vapiano can only offer risotto (and some weird vegetable based alternative, zoodle, mixed with pasta sauce).

Long wait to be served...More"
